Title;Link;Rating (0-5)
Do-It-Yourself Trail Mix;https://medlineplus.gov/recipes/do-it-yourself-trail-mix/;
Dried Bananas;https://medlineplus.gov/recipes/dried-bananas/;3
Dry Roasted Garbanzo Beans;https://medlineplus.gov/recipes/dry-roasted-garbanzo-beans/;1
Dutch Red Cabbage with Apples;https://medlineplus.gov/recipes/dutch-red-cabbage-with-apples/;2
Easy Blueberry Cobbler;https://medlineplus.gov/recipes/easy-blueberry-cobbler/;
Easy Cheesy Enchiladas;https://medlineplus.gov/recipes/easy-cheesy-enchiladas/;2
Easy Manicotti;https://medlineplus.gov/recipes/easy-manicotti/;
Easy Meatballs;https://medlineplus.gov/recipes/easy-meatballs/;4
Fabulous Fig Bars;https://medlineplus.gov/recipes/fabulous-fig-bars/;
Farmers Market Salsa;https://medlineplus.gov/recipes/farmers-market-salsa/;
Favorite Pancakes without Eggs;https://medlineplus.gov/recipes/favorite-pancakes-without-eggs/;3
Fiesta Barley Salad;https://medlineplus.gov/recipes/fiesta-barley-salad/;2
Fish Salad;https://medlineplus.gov/recipes/fish-salad/;3
Fish Tacos;https://medlineplus.gov/recipes/fish-tacos/;3
Fish and Spinach Bake;https://medlineplus.gov/recipes/fish-and-spinach-bake/;
Flavorful Green Beans;https://medlineplus.gov/recipes/flavorful-green-beans/;1
Frozen Strawberry Yogurt;https://medlineplus.gov/recipes/frozen-strawberry-yogurt/;4
Fruit Pizza;https://medlineplus.gov/recipes/fruit-pizza/;
Fruit and Nut Slaw;https://medlineplus.gov/recipes/fruit-and-nut-slaw/;1
Fruity French Toast Casserole;https://medlineplus.gov/recipes/fruity-french-toast-casserole/;1
Garden Vegetable Cakes;https://medlineplus.gov/recipes/garden-vegetable-cakes/;
Garlic Bok Choy;https://medlineplus.gov/recipes/garlic-bok-choy/;3
Garlic Ginger Ramen with Beef;https://medlineplus.gov/recipes/garlic-ginger-ramen-with-beef/;4
Ginger Almond Asparagus;https://medlineplus.gov/recipes/ginger-almond-asparagus/;0
Glazed Carrots and Cranberries;https://medlineplus.gov/recipes/glazed-carrots-and-cranberries/;1
Glazed Squash;https://medlineplus.gov/recipes/glazed-squash/;1
Green Pea Soup;https://medlineplus.gov/recipes/green-pea-soup/;2
Green Pineapple Power Smoothie;https://medlineplus.gov/recipes/green-pineapple-power-smoothie/;3
Green Salad with Peas;https://medlineplus.gov/recipes/green-salad-with-peas/;1
Greens with Carrots;https://medlineplus.gov/recipes/greens-with-carrots/;
Grilled Tuna with Chickpea and Spinach Salad;https://medlineplus.gov/recipes/grilled-tuna-with-chickpea-and-spinach-salad/;2
Ham and Vegetable Chowder;https://medlineplus.gov/recipes/ham-and-vegetable-chowder/;1
Healthy Carrot Cake Cookies;https://medlineplus.gov/recipes/healthy-carrot-cake-cookies/;
Honey Mustard Dressing;https://medlineplus.gov/recipes/honey-mustard-dressing/;2
Hot Apple Orange Cider;https://medlineplus.gov/recipes/hot-apple-orange-cider/;3
Hummus (no tahini);https://medlineplus.gov/recipes/hummus-no-tahini/;0
Hummus (with tahini);https://medlineplus.gov/recipes/hummus-with-tahini/;0
Indian Lentils and Pasta;https://medlineplus.gov/recipes/indian-lentils-and-pasta/;2
Jack-O-Lanterns (Pumpkin Pancakes);https://medlineplus.gov/recipes/jack-o-lanterns-pumpkin-pancakes/;3
Kale Dip;https://medlineplus.gov/recipes/kale-dip/;0
Kale and Cranberry Stir-Fry;https://medlineplus.gov/recipes/kale-and-cranberry-stir-fry/;0
Kale and White Bean Soup;https://medlineplus.gov/recipes/kale-and-white-bean-soup/;0
Kiwi Salsa;https://medlineplus.gov/recipes/kiwi-salsa/;2
Kiwi, Banana, and Apple Salad;https://medlineplus.gov/recipes/kiwi-banana-and-apple-salad/;2
Leek and Mushroom Orzo;https://medlineplus.gov/recipes/leek-and-mushroom-orzo/;0
Lemon Dill Brussels Sprouts;https://medlineplus.gov/recipes/lemon-dill-brussels-sprouts/;0
Lemony Garbanzo Bean Dip;https://medlineplus.gov/recipes/lemony-garbanzo-bean-dip/;
Lentil Confetti Salad;https://medlineplus.gov/recipes/lentil-confetti-salad/;1
Lentil Taco Filling;https://medlineplus.gov/recipes/lentil-taco-filling/;2
Low-fat Pumpkin Bread;https://medlineplus.gov/recipes/low-fat-pumpkin-bread/;1
Mango Shake;https://medlineplus.gov/recipes/mango-shake/;
Mashed Parsnips and Potatoes;https://medlineplus.gov/recipes/mashed-parsnips-and-potatoes/;2
Mashed Potatoes;https://medlineplus.gov/recipes/mashed-potatoes/;5
Meatball Soup;https://medlineplus.gov/recipes/meatball-soup/;4
Melon Cooler;https://medlineplus.gov/recipes/melon-cooler/;3
Melon and Mint;https://medlineplus.gov/recipes/melon-and-mint/;3
Mexican Vegetable and Beef Skillet Meal;https://medlineplus.gov/recipes/mexican-vegetable-and-beef-skillet-meal/;
Minestrone Soup;https://medlineplus.gov/recipes/minestrone-soup/;
Mushroom Bulgur Pilaf;https://medlineplus.gov/recipes/mushroom-bulgur-pilaf/;1
My Personal Pizza;https://medlineplus.gov/recipes/my-personal-pizza/;3
No-Yeast Pizza Crust;https://medlineplus.gov/recipes/no-yeast-pizza-crust/;2
Oatmeal Pecan Waffles (or Pancakes);https://medlineplus.gov/recipes/oatmeal-pecan-waffles-or-pancakes/;2
One-Pan Chicken Alfredo;https://medlineplus.gov/recipes/one-pan-chicken-alfredo/;4
One-Pan Spaghetti;https://medlineplus.gov/recipes/one-pan-spaghetti/;
Orange Delight;https://medlineplus.gov/recipes/orange-delight/;
Oven Baked Salmon;https://medlineplus.gov/recipes/oven-baked-salmon/;3
Overnight Oatmeal;https://medlineplus.gov/recipes/overnight-oatmeal/;2
Overnight Oats for One;https://medlineplus.gov/recipes/overnight-oats-for-one/;2
Pasta Caprese;https://medlineplus.gov/recipes/pasta-caprese/;3
Pasta Ratatouille;https://medlineplus.gov/recipes/pasta-ratatouille/;
Peach Salsa;https://medlineplus.gov/recipes/peach-salsa/;2
Peach Sundae;https://medlineplus.gov/recipes/peach-sundae/;1
Peach Yogurt Smoothie;https://medlineplus.gov/recipes/peach-yogurt-smoothie/;3
Peanut Butter Cereal Bars;https://medlineplus.gov/recipes/peanut-butter-cereal-bars/;1
Peanut Power Smoothie;https://medlineplus.gov/recipes/peanut-power-smoothie/;1
Perfect Hard-Cooked Eggs;https://medlineplus.gov/recipes/perfect-hard-cooked-eggs/;3
Pineapple Veggie Chicken;https://medlineplus.gov/recipes/pineapple-veggie-chicken/;3
Potato Wedges;https://medlineplus.gov/recipes/potato-wedges/;5
Pozole with Chicken;https://medlineplus.gov/recipes/pozole-with-chicken/;
Pumpkin Breakfast Cookies;https://medlineplus.gov/recipes/pumpkin-breakfast-cookies/;2
Pumpkin Ricotta Stuffed Shells;https://medlineplus.gov/recipes/pumpkin-ricotta-stuffed-shells/;1
Pumpkin Smoothie in a Cup;https://medlineplus.gov/recipes/pumpkin-smoothie-in-a-cup/;2
Pupusas Revueltas;https://medlineplus.gov/recipes/pupusas-revueltas/;2
Quick Beef Casserole;https://medlineplus.gov/recipes/quick-beef-casserole/;4
Quick Black Bean Dip;https://medlineplus.gov/recipes/quick-black-bean-dip/;2
Quick Brown Bread;https://medlineplus.gov/recipes/quick-brown-bread/;3
Quick Lasagna;https://medlineplus.gov/recipes/quick-lasagna/;4
Quick Tomato Pasta Sauce;https://medlineplus.gov/recipes/quick-tomato-pasta-sauce/;3
Quick Tomato Salsa;https://medlineplus.gov/recipes/quick-tomato-salsa/;3
Quinoa Salad;https://medlineplus.gov/recipes/quinoa-salad/;
Radish and Cucumber Salad;https://medlineplus.gov/recipes/radish-and-cucumber-salad/;1
Ramen Cabbage Salad;https://medlineplus.gov/recipes/ramen-cabbage-salad/;
Ranch Dip;https://medlineplus.gov/recipes/ranch-dip/;
Ranch Dressing;https://medlineplus.gov/recipes/ranch-dressing/;4
Raspberry Oatmeal Bars;https://medlineplus.gov/recipes/raspberry-oatmeal-bars/;3
Refried Beans;https://medlineplus.gov/recipes/refried-beans/;0
Refrigerator Pickled Cucumbers;https://medlineplus.gov/recipes/refrigerator-pickled-cucumbers/;0
Rice Bowl Southwestern Style;https://medlineplus.gov/recipes/rice-bowl-southwestern-style/;2
Rice with Black Beans and Sausage;https://medlineplus.gov/recipes/rice-with-black-beans-and-sausage/;2
Rice with Chicken and Vegetables;https://medlineplus.gov/recipes/rice-with-chicken-and-vegetables/;3
Roasted Asparagus;https://medlineplus.gov/recipes/roasted-asparagus/;0
Roasted Cauliflower Steaks;https://medlineplus.gov/recipes/roasted-cauliflower-steaks/;1
Roasted Honey Mustard Brussels Sprouts;https://medlineplus.gov/recipes/roasted-honey-mustard-brussels-sprouts/;
Roasted Parsnips and Carrots;https://medlineplus.gov/recipes/roasted-parsnips-and-carrots/;1
Salmon Pasta Skillet;https://medlineplus.gov/recipes/salmon-pasta-skillet/;3
Salmon Patties;https://medlineplus.gov/recipes/salmon-patties/;
Salmon Salad Mix;https://medlineplus.gov/recipes/salmon-salad-mix/;2
Salsa Chicken;https://medlineplus.gov/recipes/salsa-chicken/;4
Sautéed Leeks and Apples;https://medlineplus.gov/recipes/sauteed-leeks-and-apples/;2
Sautéed Mung Beans;https://medlineplus.gov/recipes/sauteed-mung-beans/;2
Sautéed Peppers;https://medlineplus.gov/recipes/sauteed-peppers/;2
Sautéed Zucchini;https://medlineplus.gov/recipes/sauteed-zucchini/;1
Savory Oatmeal;https://medlineplus.gov/recipes/savory-oatmeal/;
Savory Sweet Potatoes;https://medlineplus.gov/recipes/savory-sweet-potatoes/;2
Sesame Broccoli;https://medlineplus.gov/recipes/sesame-broccoli/;1
Sesame Noodles with Broccoli and Chicken;https://medlineplus.gov/recipes/sesame-noodles-with-broccoli-and-chicken/;2
Skillet Braised Chicken;https://medlineplus.gov/recipes/skillet-braised-chicken/;4
Skillet Granola;https://medlineplus.gov/recipes/skillet-granola/;
Skillet Mac and Cheese;https://medlineplus.gov/recipes/skillet-mac-and-cheese/;3
Southwestern Stuffed Potatoes;https://medlineplus.gov/recipes/southwestern-stuffed-potatoes/;3
Spaghetti Squash;https://medlineplus.gov/recipes/spaghetti-squash/;2
Spicy Rice Casserole;https://medlineplus.gov/recipes/spicy-rice-casserole/;2
Spinach and Black Bean Enchiladas;https://medlineplus.gov/recipes/spinach-and-black-bean-enchiladas/;
Spinach and Chicken Italian;https://medlineplus.gov/recipes/spinach-and-chicken-italian/;2
Spring Fling Vegetable Chowder;https://medlineplus.gov/recipes/spring-fling-vegetable-chowder/;1
Spring Green Salad;https://medlineplus.gov/recipes/spring-green-salad/;1
Squash Blossom Quesadilla;https://medlineplus.gov/recipes/squash-blossom-quesadilla/;2
Steamed Chicken Wontons;https://medlineplus.gov/recipes/steamed-chicken-wontons/;3
Stir-Fried Beef and Potatoes;https://medlineplus.gov/recipes/stir-fried-beef-and-potatoes/;4
Stovetop Bulgur;https://medlineplus.gov/recipes/stovetop-bulgur/;2
Stovetop Quinoa;https://medlineplus.gov/recipes/stovetop-quinoa/;1
Stovetop Tuna Casserole;https://medlineplus.gov/recipes/stovetop-tuna-casserole/;3
Strawberry Salsa;https://medlineplus.gov/recipes/strawberry-salsa/;2
Succotash;https://medlineplus.gov/recipes/succotash/;
Summer Breeze Smoothie;https://medlineplus.gov/recipes/summer-breeze-smoothie/;3
Superhero Shepherd's Pie;https://medlineplus.gov/recipes/superhero-shepherds-pie/;3
Sweet Potato and Orange Muffins;https://medlineplus.gov/recipes/sweet-potato-and-orange-muffins/;1
Tasty Hamburger Skillet;https://medlineplus.gov/recipes/tasty-hamburger-skillet/;4
Tofu Banana Pudding;https://medlineplus.gov/recipes/tofu-banana-pudding/;0
Tofu Scramble;https://medlineplus.gov/recipes/tofu-scramble/;0
Tomato Pasta Salad;https://medlineplus.gov/recipes/tomato-pasta-salad/;2
Tortilla Casserole;https://medlineplus.gov/recipes/tortilla-casserole/;4
Tropical Beets;https://medlineplus.gov/recipes/tropical-beets/;
Tropical Carrot Salad;https://medlineplus.gov/recipes/tropical-carrot-salad/;1
Tuna Veggie Melt;https://medlineplus.gov/recipes/tuna-veggie-melt/;0
Turkey Cranberry Quesadilla;https://medlineplus.gov/recipes/turkey-cranberry-quesadilla/;2
Turkey Ginger Rice Lettuce Wraps;https://medlineplus.gov/recipes/turkey-ginger-rice-lettuce-wraps/;2
Turkey Pumpkin Chili;https://medlineplus.gov/recipes/turkey-pumpkin-chili/;2
Turkey Salad;https://medlineplus.gov/recipes/turkey-salad/;3
Turkey Stroganoff;https://medlineplus.gov/recipes/turkey-stroganoff/;
Un-beet-able Berry Smoothie;https://medlineplus.gov/recipes/un-beet-able-berry-smoothie/;3
Vegetable Beef Soup;https://medlineplus.gov/recipes/vegetable-beef-soup/;3
Vegetables and Turkey Stir-Fry;https://medlineplus.gov/recipes/vegetables-and-turkey-stir-fry/;3
Vegetarian Chili;https://medlineplus.gov/recipes/vegetarian-chili/;1
Vegetarian Cowboy Salad;https://medlineplus.gov/recipes/vegetarian-cowboy-salad/;1
Vegetarian Tofu Enchiladas;https://medlineplus.gov/recipes/vegetarian-tofu-enchiladas/;0
Veggie Omelet in a Mug;https://medlineplus.gov/recipes/veggie-omelet-in-a-mug/;
Veggie Quesadillas with Cilantro Yogurt Dip;https://medlineplus.gov/recipes/veggie-quesadillas-with-cilantro-yogurt-dip/;1
Veggie Quiche Muffins;https://medlineplus.gov/recipes/veggie-quiche-muffins/;1
Veggie Skillet Eggs;https://medlineplus.gov/recipes/veggie-skillet-eggs/;
Veggie Stew;https://medlineplus.gov/recipes/veggie-stew/;1
Veggie and Egg Rice;https://medlineplus.gov/recipes/veggie-and-egg-rice/;1
Watermelon Cooler;https://medlineplus.gov/recipes/watermelon-cooler/;
Watermelon and Fruit Salad;https://medlineplus.gov/recipes/watermelon-and-fruit-salad/;3
West African Peanut Soup;https://medlineplus.gov/recipes/west-african-peanut-soup/;2
White Chicken Chili;https://medlineplus.gov/recipes/white-chicken-chili/;3
Whole-Wheat Blueberry Muffins;https://medlineplus.gov/recipes/whole-wheat-blueberry-muffins/;
Whole-Wheat Quick Bread;https://medlineplus.gov/recipes/whole-wheat-quick-bread/;3
Whole-Wheat Yogurt Rolls;https://medlineplus.gov/recipes/whole-wheat-yogurt-rolls/;3
Whole-Wheat Zucchini Bread;https://medlineplus.gov/recipes/whole-wheat-zucchini-bread/;1
Wild Rice with Salmon Stew;https://medlineplus.gov/recipes/wild-rice-with-salmon-stew/;3
Yogurt Fruit Dip;https://medlineplus.gov/recipes/yogurt-fruit-dip/;3
Zesty Tomato Soup;https://medlineplus.gov/recipes/zesty-tomato-soup/;
Zucchini Pizza Boats;https://medlineplus.gov/recipes/zucchini-pizza-boats/;0
